"ccn","RPT_REC_NUM","S100001_00100_00100","S100001_00200_00100","S100001_00700_00100","S100001_00800_00100","S100001_03100_00100","S100001_02600_00100","S100001_03000_00100","S100001_02000_00100","S100001_02000_00300","S100001_02300_00100","S100001_02300_00300","S100001_02000_00200","S100001_02300_00200","C000001_20200_00600","C000001_20200_00700","C000001_20200_00800","zipcode","hosp_name","address"
"110130",747534,0.426683,30844,59859,23015,23092,NA,NA,NA,NA,NA,NA,NA,NA,1892400,3881115,5773515,"31774","IRWIN COUNTY HOSPITAL","710 NORTH IRWIN AVENUE_OCILLA_GA"
"421303",748727,0.551957,93048,267463,NA,654829,1209905,654829,NA,NA,NA,NA,NA,NA,3388938,10205503,13594441,"29556","WILLIAMSBURG REGIONAL HOSPITAL","WILLIAMSBURG REGIONAL HOSPITAL_KINGSTREE_SC"
"140125",750440,0.117441,5784333,4992996,NA,667114,3318583,667114,1947198,1947198,228681,228681,NA,NA,48367188,69224956,117592144,"62040","GATEWAY REGIONAL","2100 MADISON AVE_GRANITE CITY_IL"
"030153",750916,0.186238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6682868,12515778,19198646,"85295","EAST VALLEY ER AND HOSPITAL","5656 S POWER RD_GILBERT_AZ"
"360090",750947,0.402291,9599238,21271320,10403912,10969737,NA,565825,901368,1104581,362612,565825,203213,203213,88687607,137880935,226568542,"43537-","ST. LUKES HOSPITAL","5901 MONCLOVA ROAD_MAUMEE_OH"
"450697",751096,0.147192,11439217,12955619,NA,8484683,6448735,8277086,49423374,49423374,7274725,7274725,NA,NA,247659162,118903216,366562378,"78224","SOUTHWEST GENERAL HOSPITAL","7400 BARLITE BLVD_SAN ANTONIO_TX"
"230110",756192,0.334477,2983856,6992474,1506082,2333686,1920055,827604,467215,493619,156273,182677,26404,26404,25738666,118925471,144664137,"49431","COREWELL HEALTH LUDINGTON HOSPITAL","ONE ATKINSON DRIVE_LUDINGTON_MI"
"110028",756287,0.249526,14471270,17545941,NA,15506937,14204996,15506937,34373178,37734384,8577002,11938135,3361206,3361133,545702379,375417846,921120225,"30901-2612","UNIVERSITY HEALTH SERVICES  INC.","1350 WALTON WAY_AUGUSTA_GA"
"230078",756523,0.323314,1646949,4519527,1223903,1775144,1321355,551241,350703,359688,113387,122372,8985,8985,11700512,52758705,64459217,"49098","LAKELAND COMMUNITY HOSP WATERVLIET","400 MEDICAL PARK DRIVE_WATERVLIET_MI"
"230093",756525,0.29946,3501028,7778595,1213318,2248062,2644821,1034744,590020,649295,176687,235962,59275,59275,21973147,98329498,120302645,"49307","COREWELL HEALTH BIG RAPIDS","605 OAK STREET_BIG RAPIDS_MI"
"340051",756673,0.287251,NA,2264545,2471459,6433031,11504951,3961572,2225902,2225902,639393,639393,NA,NA,102586509,302395563,404982072,"28607-","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD_BOONE_NC"
"341323",756679,0.410664,374321,354151,NA,971333,2103395,971333,265501,265501,109032,109032,NA,NA,5615564,35439697,41055261,"28646-","CHARLES A. CANNON MEMORIAL HOSPITAL","434 HOSPITAL DRIVE_LINVILLE_NC"
"530034",757078,0.368867,79662,850495,770833,962985,520926,192152,NA,NA,NA,NA,NA,NA,2743996,35495780,38239776,"82609","SUMMIT MEDICAL CENTER  LLC","6350 E 2ND STREET_CASPER_WY"
"230003",757346,0.246158,2905688,4865751,800799,1733743,2670612,932944,923328,970575,227285,268393,47247,41108,29777752,111655598,141433350,"49464","COREWELL HEALTH ZEELAND","100 S PINE STREET_ZEELAND_MI"
"330163",757375,0.418143,1462570,3791040,2328470,2524339,456615,195869,1822,5999,762,4939,4177,4177,4618355,29365713,33984068,"14094","EASTERN NIAGARA HOSPITAL","521 EAST AVENUE_LOCKPORT_NY"
