"CCN","RPT_NUM","HOSP_NAME","ADDRESS","ZIP","CST_CHRG","NET_REV_CAID","CAID_COST","DIFF_CAID_REV","TOT_UNCOMP_COST","BAD_DEBT","COST_UNCOMP","CHAR_CHRG_UNIN","CHAR_CHRG_TOT","COST_CHAR_UNIN","COST_CHAR_TOT","CHAR_CHRG_INS","COST_CHAR_INS","DISCHRG","DISCHRG_HMO","HOSP_CHRG_INPAT","HOSP_CHRG_OUTPAT","HOSP_CHRG_TOT"
"110130",747534,"IRWIN COUNTY HOSPITAL","710 NORTH IRWIN AVENUE_OCILLA_GA","31774",0.426683,30844,59859,23015,23092,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1892400,3881115,5773515
"421303",748727,"WILLIAMSBURG REGIONAL HOSPITAL","WILLIAMSBURG REGIONAL HOSPITAL_KINGSTREE_SC","29556",0.551957,93048,267463,0,654829,1209905,654829,NA,NA,NA,NA,NA,NA,29,NA,3388938,10205503,13594441
"140125",750440,"GATEWAY REGIONAL","2100 MADISON AVE_GRANITE CITY_IL","62040",0.117441,5784333,4992996,0,667114,3318583,667114,1947198,1947198,228681,228681,NA,NA,66,94,48367188,69224956,117592144
"030153",750916,"EAST VALLEY ER AND HOSPITAL","5656 S POWER RD_GILBERT_AZ","85295",0.186238,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,6682868,12515778,19198646
"360090",750947,"ST. LUKES HOSPITAL","5901 MONCLOVA ROAD_MAUMEE_OH","43537",0.402291,9599238,21271320,10403912,10969737,NA,565825,901368,1104581,362612,565825,203213,203213,797,829,88687607,137880935,226568542
"450697",751096,"SOUTHWEST GENERAL HOSPITAL","7400 BARLITE BLVD_SAN ANTONIO_TX","78224",0.147192,11439217,12955619,0,8484683,6448735,8277086,49423374,49423374,7274725,7274725,NA,NA,474,878,247659162,118903216,366562378
"230110",756192,"COREWELL HEALTH LUDINGTON HOSPITAL","ONE ATKINSON DRIVE_LUDINGTON_MI","49431",0.334477,2983856,6992474,1506082,2333686,1920055,827604,467215,493619,156273,182677,26404,26404,258,284,25738666,118925471,144664137
"110028",756287,"UNIVERSITY HEALTH SERVICES  INC.","1350 WALTON WAY_AUGUSTA_GA","30901",0.249526,14471270,17545941,0,15506937,14204996,15506937,34373178,37734384,8577002,11938135,3361206,3361133,2611,2698,545702379,375417846,921120225
"230078",756523,"LAKELAND COMMUNITY HOSP WATERVLIET","400 MEDICAL PARK DRIVE_WATERVLIET_MI","49098",0.323314,1646949,4519527,1223903,1775144,1321355,551241,350703,359688,113387,122372,8985,8985,1,3,11700512,52758705,64459217
"230093",756525,"COREWELL HEALTH BIG RAPIDS","605 OAK STREET_BIG RAPIDS_MI","49307",0.29946,3501028,7778595,1213318,2248062,2644821,1034744,590020,649295,176687,235962,59275,59275,223,311,21973147,98329498,120302645
